PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF347PET;Ukraine;UP;369;1;347;North Crimea Basin;45,34;30,88;PET;gas;Persits et al., 1998;2;-9999;3;-9999;4;year 2002: presentation of projects for the exploration and development of the Odessa field;INOGATE, 2003c - Petroleum Economist, 2003;1,2
OF348PET;Ukraine;UP;369;1;348;North Crimea Basin;45,47;31,92;PET;gas;Persits et al., 1998;1;1974;1;1983;1;Golitsyno field discovered in 1974 and put intp production in 1983;NSJC Chornomornaftogaz, 2001a;1,2
OF351PET;Ukraine;UP;369;1;351;Azov-Kuban Basin;45,65;36,72;PET;oil and gas;Persits et al., 1998;4;-9999;3;-9999;4;fields under development;NSJC Chornomornaftogaz, 2001a - NSJC Chornomornaftogaz, 2001b;1,2
OF349PET;Ukraine;UP;369;1;349;Azov-Kuban Basin;45,88;35,09;PET;gas;Persits et al., 1998;1;1970;2;1981;1;Strelkovoye field put into development in 1970 and came on stream in 1981;NSJC Chornomornaftogaz, 2001a - Petroleum Economist, 2003;1,2
OF350PET;Ukraine;UP;369;1;350;Azov-Kuban Basin;46,25;35,96;PET;gas;Persits et al., 1998;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF339PET;Trinidad and Tobago;TD;52;5;339;East Venezuela Basin;10,18;-61,08;PET;gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1975;1;2002;1;Chaconia, Hibiscus and Poinsettia fields found in 1975 and Hibiscus field came on stream in 2002 - other fields are under developm;Oil & Gas Journal, 2001b - Geological Society of Trinidad and Tobago, year unknown - Petroleum Economist, 2003;1,2
OF338PET;Trinidad and Tobago;TD;52;5;338;Tobago Trough;11,26;-61,28;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1954;1;1955;1;Soldado field discovered in 1954 and production commenced in 1955;Geological Society of Trinidad and Tobago, year unknown - Kulke, 1995 - Petroleum Economist, 2003;1,2
OF269PET;Peru;PE;135;5;269;Talata Basin;-5,43;-81,17;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1955;1;1960;2;Litoral field found in 1955 - offshore production in that area since 1960;Anonymous, 2001 - World Energy Council, 2001bi - Petroleum Economist, 2003;1,2
OF267PET;Peru;PE;135;5;267;Progreso Basin;-3,43;-80,70;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist, 2003;3;-9999;3;-9999;3;Albacora and Zorritos fields - no further information available;Petroleum Economist, 2003;1,2
OF268PET;Peru;PE;135;5;268;Talata Basin;-4,28;-81,30;PET;oil;Schenk et al., 1999 - Petroleum Economist, 2003;1;1960;1;1960;2;Pena Negra field discovered in 1960 - offshore production in that area since 1960;Anonymous, 2001 - World Energy Council, 2001bi - Petroleum Economist, 2003;1,2
OF379PET;Venezuela;VE;101;5;379;East Venezuela Basin;10,06;-62,25;PET;oil;Schenk et al., 1999 - Kulke, 1995;1;1945;1;-9999;3;Pedernales field found in 1932;Anonymous, 2001 - Kulke, 1995;1,2
OF380PET;Venezuela;VE;101;5;380;East Venezuela Basin;9,98;-60,35;PET;gas;Schenk et al., 1999 - Petroleum Economist, 2003;2;1983;1;-9999;4;Loran and Cocuina fields found in 1983;Martinez, 1999 - International News, 2002 - Petroleum Economist, 2003;1,2
OF374PET;Venezuela;VE;101;5;374;Maracaibo Basin;9,76;-71,55;PET;oil and gas;Schenk et al., 1999;1;1945;1;-9999;3;Lagunillas field discovered in 1925;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF378PET;Venezuela;VE;101;5;378;Tobago Trough;11,03;-62,07;PET;gas;Schenk et al., 1999 - Petroleum Economist, 2003;2;1979;1;-9999;4;Patao field discovered in 1979 - Project Development Agreement signed in 2002;Martinez, 1999 - IPD Latin America Venezuelan EnergyNet, 2004 - Petroleum Economist, 2003;1,2
OF376PET;Venezuela;VE;101;5;376;Cariaco Basin;10,89;-64,81;PET;oil;Schenk et al., 1999 - Petroleum Economist, 2003;3;1979;1;-9999;3;MTC field discovered in 1979;Martinez, 1999 - Kulke, 1995;1,2
OF377PET;Venezuela;VE;101;5;377;Tobago Trough;11,48;-62,65;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF375PET;Venezuela;VE;101;5;375;Falcon Basin;11,69;-69,36;PET;oil;Schenk et al., 1999 - Petroleum Economist, 2003;2;1983;1;-9999;4;La Vela block found in 1983 - exploration and redevelopment since 1998;Martinez, 1999 - Phillips66, 1998 - Petroleum Economist, 2003;1,2
OF105PET;Ecuador;EC;130;5;105;Progreso Basin;-3,25;-80,47;PET;gas;Schenk et al. 1999 - Petroleum Economist, 2003;1;1970;1;2002;1;Amistad field discovered in 1970 and came on stream in 2002;Kulke, 1995 - Noble Energy, 2002 - Petroleum Economist, 2003;1,2
OF094PET;Colombia;CO;100;5;94;Lower Magdelena;10,87;-75,47;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF095PET;Colombia;CO;100;5;95;Guajira Basin;11,92;-72,88;PET;gas;Schenk et al., 1999 - Petroleum Economist, 2003;1;1973;1;1977;1;Chuchupa field discovered in 1973 and came on stream in 1977;Anonymous, 1996 - Petroleum Economist, 2003;1,2
OF076PET;Chile;CI;155;5;76;Magallanes Basin;-52,48;-69,04;PET;oil and gas;Schenk et al., 1999;1;1960;1;-9999;3;Daniel field discovered in 1960;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF075PET;Chile;CI;155;5;75;Central Chile Forearc Basin;-39,04;-73,64;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF074PET;Chile;CI;155;5;74;Central Chile Forearc Basin;-38,30;-73,93;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF057PET;Brazil;BR;140;5;57;Santos Basin;-26,58;-46,84;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1993;2;1993;1;Caravela field came on stream in 1993;Northern Oil, 2001 - Petroleum Economist, 2003;1,2
OF056PET;Brazil;BR;140;5;56;Santos Basin;-25,29;-45,29;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;2;1987;1;-9999;4;Tubarao field found in 1987 but was not under production yet in 2001;Northern Oil, 2001 - Petroleum Economist, 2003;1,2
OF055PET;Brazil;BR;140;5;55;Santos Basin;-24,43;-44,33;PET;gas;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1979;1;1993;1;Merluza field: first gas shows in 1979 - commercial production commenced in 1993;EXPLORER, 2001 - Petroleum Economist, 2003;1,2
OF054PET;Brazil;BR;140;5;54;Campos Basin;-23,47;-41,23;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;3;-9999;3;-9999;3;Guarajuba field - no further information available;Petroleum Economist, 2003;1,2
OF053PET;Brazil;BR;140;5;53;Campos Basin;-22,40;-40,31;PET;oil and gas;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1974;1;1977;1;Garoupa field discovered in 1974 - first completion installed in 1977 at the Enchova field;Anonymous, 2001 - Society of Petroleum Engineers, 2003 - Petroleum Economist, 2003;1,2
OF052PET;Brazil;BR;140;5;52;Campos Basin;-21,67;-40,76;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;3;-9999;3;-9999;3;150 field - no further information available;Petroleum Economist, 2003;1,2
OF051PET;Brazil;BR;140;5;51;Espirito Santo Basin;-19,37;-39,45;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1977;1;-9999;3;Cacao field found in 1977;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF050PET;Brazil;BR;140;5;50;Espirito Santo Basin;-18,46;-39,47;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF049PET;Brazil;BR;140;5;49;Bahia Sul Basin;-17,31;-38,75;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1969;1;-9999;3;Guriri field discovered in 1969;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF048PET;Brazil;BR;140;5;48;Bahia Sul Basin;-15,29;-38,80;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further inforamtion available;Petroleum Economist, 2003;1,2
OF047PET;Brazil;BR;140;5;47;Bahia Sul Basin;-14,57;-38,87;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further inforamtion available;Petroleum Economist, 2003;1,2
OF046PET;Brazil;BR;140;5;46;Reconcavo Basin;-13,82;-38,83;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further inforamtion available;Petroleum Economist, 2003;1,2
OF045PET;Brazil;BR;140;5;45;Reconcavo Basin;-13,02;-38,67;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further inforamtion available;Petroleum Economist, 2003;1,2
OF044PET;Brazil;BR;140;5;44;Sergipe-Alagoas Basin;-10,89;-36,57;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1985;1;-9999;3;Paru field found in 1985;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF043PET;Brazil;BR;140;5;43;Potigar Basin;-4,80;-36,40;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1973;1;-9999;3;Ubarana field discovered in 1973;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF042PET;Brazil;BR;140;5;42;Caera Basin;-3,64;-38,08;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1987;1;-9999;3;Fazenda Belem field found in 1987;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF041PET;Brazil;BR;140;5;41;Caera Basin;-3,01;-38,89;PET;oil;Schenk et al., 1999 - Petroleum Economist Ltd, 200;1;1977;1;-9999;3;Xareu field discovered in 1977;Anonymous, 2001 - Petroleum Economist, 2003;1,2
OF040PET;Brazil;BR;140;5;40;Barreieinas Basin;-2,37;-42,66;PET;oil and gas;Schenk et al., 1999;2;-9999;3;-9999;4;in 1995 the area was still underexplored - no significant finds in the exploration wells;Kulke, 1995;1,2
OF039PET;Brazil;BR;140;5;39;Santana Platform;-0,49;-44,10;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF038PET;Brazil;BR;140;5;38;Santana Platform;0,83;-46,16;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF037PET;Brazil;BR;140;5;37;Foz de Amazonas Basin;3,46;-48,72;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further inforamtion available;Petroleum Economist, 2003;1,2
OF036PET;Brazil;BR;140;5;36;Foz de Amazonas Basin;3,91;-50,03;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further inforamtion available;Petroleum Economist, 2003;1,2
OF013PET;Argentina;AR;160;5;13;Malvinas Basin;-54,10;-65,40;PET;oil and gas;Schenk et al., 1999;3;-9999;3;-9999;3;no confirmation of Petroleum Economist;Petroleum Economist, 2003;1,2
OF362PET;United States of Ameri;US;2;5;362;Northern Alaska;70,35;-146,87;PET;oil;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;oil field - no further information available;Petroleum Economist, 2003;1,2
OF369PET;United States of Ameri;US;2;5;369;Western Gulf;30,17;-90,18;PET;gas;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;gas field - field could not be identified due to the high concentration in that area - no further information available;Petroleum Economist, 2003;1,2
OF365PET;United States of Ameri;US;2;5;365;Los Angeles Basin;33,43;-117,89;PET;oil;Earth Sciences and Resources Institute, 1995 - Beyer 1995 - Klett et al., 1997;1;1945;1;-9999;3;Huntington Beach field discovered in 1920;Earth Sciences and Resources Institute, 1995 - Beyer, 1995;1,2
OF364PET;United States of Ameri;US;2;5;364;Central California OSC;34,54;-120,73;PET;oil;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;3;1981;1;-9999;3;Pt. Arguella field found in 1981;Earth Sciences and Resources Institute, 1995;1,2
OF363PET;United States of Ameri;US;2;5;363;Southern Alaska;60,72;-151,44;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1962;1;1967;1;Middle Ground Shoal field discovered in 1962 and McArthur River field in 1965 - both fields and the Trading Bay field came on stre;Earth Sciences and Resources Institute, 1995 - Kenai Peninsula Borough-Community and Economic Development Division,;1,2
OF361PET;United States of Ameri;US;2;5;361;Beaufort Shelf OSC;70,58;-148,56;PET;oil;Petroleum Economist, 2003 - Klett et al., 1997;1;1978;1;1987;1;Endicott field discovered in 1978 and commenced production in 1987;University of Conneticut et al., 1995 - Petroleum Economist, 2003;1,2
OF373PET;United States of Ameri;US;2;5;373;Louisiana-Mississippi Salt Ba;30,34;-88,00;PET;gas;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;gas fields - fields could not be identified due to the high concentration in that area - no further information available;Petroleum Economist, 2003;1,2
OF372PET;United States of Ameri;US;2;5;372;Gulf Mesozoic OCS;29,80;-88,11;PET;gas;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;gas fields - fields could not be identified due to the high concentration in that area - no further information available;Petroleum Economist, 2003;1,2
OF370PET;United States of Ameri;US;2;5;370;Western Gulf;29,75;-89,28;PET;oil and gas;Petroleum Economist, 2003 - Klett et al., 1997;3;-9999;3;-9999;3;oil and gas fields - fields could not be identified due to the high concentration in that area - no further information available;Petroleum Economist, 2003;1,2
OF368PET;United States of Ameri;US;2;5;368;Western Gulf;29,08;-89,45;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;3;1949;1;-9999;3;W Delta 30 field found in 1949 and S. Pass 27 field in 1954;Earth Sciences and Resources Institute, 1995;1,2
OF367PET;United States of Ameri;US;2;5;367;Western Gulf;29,12;-90,55;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1945;1;1978;2;Caillou Island field discovered in 1930 - production at least since 1978 in Timbalier Bay field and that area;Earth Sciences and Resources Institute, 1995 - National Academy of Sciences, 2003;1,2
OF366PET;United States of Ameri;US;2;5;366;Western Gulf;28,64;-95,18;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;3;1956;1;-9999;3;Vermilion 14 field found in 1956;Earth Sciences and Resources Institute, 1995;1,2
OF371PET;United States of Ameri;US;2;5;371;Gulf Cenozoic OCS;28,21;-92,33;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1949;1;-9999;3;Vermilion 39 field discovered in 1949;Earth Sciences and Resources Institute, 1995 - Offshore Engineer, 2000;1,2
OF072PET;Canada;CA;20;5;72;Scotian Shelf;44,03;-59,62;PET;gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;2;1979;1;-9999;4;Venture field discovered in 1979 and is expected to come on stream in 2004;Earth Sciences and Resources Institute, 1995 - Cook et al., 2004;1,2
OF073PET;Canada;CA;20;5;73;Scotian Shelf;43,80;-61,42;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1973;1;1992;1;Cohasset field found in 1973 and commenced production in 1992;AGRA Earth and Environmental Limited, 1998 - Petroleum Economist, 2003;1,2
OF071PET;Canada;CA;20;5;71;Labrador-Newfoundland Shelf;45,90;-49,41;PET;oil and gas;Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199;1;1984;1;2002;1;Terra Nova field discovered in 1984 and went online in 2002;CAPP, year unknown - Petroleum Economist, 2003;1,2
OF070PET;Canada;CA;20;5;70;Labrador-Newfoundland Shelf;46,83;-48,83;PET;oil;Earth Sciences and Resources Institute, 1995 - Hydro, year unknown - Klett et al., 1997;1;1979;1;1997;1;Hibernia field found in 1979 and came on stream in 1997;Earth Sciences and Resources Institute, 1995 - Hydro, year unknown;1,2
