PRIMKEY;COUNTRY;FIPSCODE;COWCODE;CONTCODE;SITENUM;NAME;LAT;LONG;RES;RESINFO;LOCSOURCE;FIELDINFO;DISC;DISCPRES;PROD;PRODPRES;OTHERINFO;SOURCEINFO;VERSION
OF354PET;United Kingdom;UK;200;1;354;Faeroes-Shetland-Orkney Basin;60,24;-4,24;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1992;1;1998;1;Foinaven field discovered in 1992 and Schiebhallion field commenced production in 1998;United Kingdom Offshore Operators Association, 2002b - Aurora Environmental Ltd., 2003 - Petroleum Economist, 2003;1,2
OF355PET;United Kingdom;UK;200;1;355;Faeroes-Shetland-Orkney Basin;60,93;-2,38;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;2;1977;1;-9999;4;Clair field found in 1977 and in 1997 an agreement to jointly develop the field was signed;BP, year unknown - Kulke, 1994 - Petroleum Economist, 2003;1,2
OF356PET;United Kingdom;UK;200;1;356;North Sea Graben;58,58;0,99;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;1;1970;1;1975;1;Forties field found in 1970 and came on stream in 1975;Kulke, 1994 - United Kingdom Offshore Operators Association, 2002a - Petroleum Economist, 2003;1,2
OF358PET;United Kingdom;UK;200;1;358;Anglo-Paris Basin;50,56;-1,77;PET;oil and gas;Pawlewicz et al., 2003 - Kulke, 1994;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF344PET;Turkey;TU;640;2;344;Aegean;40,93;28,20;PET;gas;Pawlewicz et al., 2003;1;1997;2;1997;1;Kuzey field came on stream in 1997;Kulke, 1994 - EIA, 2004b;1,2
OF345PET;Turkey;TU;640;2;345;Thrace/Samsun;41,26;31,09;PET;gas;Pawlewicz et al., 2003;2;1976;1;-9999;4;Akcakoca well found in 1976 but turned out to be uneconomic;Tuerkiye Petrollerie A.O., 2002 - Kulke, 1994;1,2
OF315PET;Spain;SP;230;1;315;Alentejo-Guadalquivir Basin;36,45;-6,48;PET;gas;Pawlewicz et al., 2003;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF316PET;Spain;SP;230;1;316;Alentejo-Guadalquivir Basin;36,90;-7,05;PET;gas;Pawlewicz et al., 2003;2;1977;1;-9999;4;Golfo de Cadiz field found in 1977 but was not developed;Kulke, 1994 - Petroleum Economist, 2003;1,2
OF319PET;Spain;SP;230;1;319;Iberic Cordillera;40,56;1,11;PET;oil and gas;Pawlewicz et al., 2003;1;1970;1;2002;2;Amposta Marino field found in 1970 - Montanazo D-Casablanca field producing at least since 2002;Kulke, 1994 - Oranje-Nassau Energie B.V., 2002 - Petroleum Economist, 2003;1,2
OF318PET;Spain;SP;230;1;318;Pyrenean Foothills-Ebro Basin;43,58;-2,78;PET;gas;Pawlewicz et al., 2003;2;1978;2;-9999;4;Gaviota field discovered in 1978 and under production until 1995;Kulke, 1994 - Yahoo! Inc, 2002b - Petroleum Economist, 2003;1,2
OF317PET;Spain;SP;230;1;317;Spanish Trough-Cantabrian Zon;43,69;-4,84;PET;oil;Pawlewicz et al., 2003;3;-9999;3;-9999;3;no confirmation of Petroleum Economist - no further information available;Petroleum Economist, 2003;1,2
OF279PET;Romania;RO;360;1;279;West Black Sea Basin;44,17;30,13;PET;gas;Pawlewicz et al., 2003;2;2000;1;-9999;4;Doina field discovered in 2000 - no production was planned in 2001;USI ROMANIA, 2001 - Sterling Resources, 2001 - Petroleum Economist, 2003;1,2
OF278PET;Romania;RO;360;1;278;West Black Sea Basin;44,55;29,34;PET;oil;Pawlewicz et al., 2003;1;1987;2;1987;1;Lebada field commenced production in 1987;Kulke, 1994 - S.N.P. PETROM S.A., 2004 - Petroleum Economist, 2003;1,2
